Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
HIJA64LG,webpage,,,Cross stitch pattern PDF - Bib with little hare,Coricamo,,,,https://www.coricamo.com/cross-stitch/34647-cross-stitch-pattern-pdf-bib-with-little-hare.html,"Cross stitch pattern online PDF (downloadable in PDF file) - colourful chart of the pattern with the list of Anchor, Ariadna, DMC, Madeira mouline. Before ordering a pattern, it is necessary to register the customer's account. After paying for the order, the pattern will be available for download in ""My Account"" and sent to the e-mail address. PDF can't be opened by the Coricamo Cross Stitch app.",,16/04/2023 7:04,16/04/2023 7:04,16/04/2023 7:04,,,,,,,,,,,,,,gb,,,,,,,,,/Users/statisticsnetwork/Zotero/storage/LWYZMTIT/34647-cross-stitch-pattern-pdf-bib-with-little-hare.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDXIRG3C,book,2022,"Berre, Hélène Le",Cross Stitch Alphabets: 14 beautiful designs inspired by the natural world,,978-1-78221-965-1,,,,"14 gorgeous, delicate cross stitch designs to embroider with animal, plant and floral themes.Accomplished cross stitch designer Hélène Le Berre brings you 14 stunningly beautiful alphabets to embroider. Her trademark style is very delicate and pretty and these designs are no exception!Based around the themes of Animals, Plants and Flora, there is a lovely range of designs to fit all occasions. As well as the alphabet designs, there are projects to make including a notebook cover, a make-up bag, a decorative pillow, an apron and a tote bag. The charts are beautifully presented, along with a comprehensive techniques section at the back of the book.Suitable for beginners to more advanced stitchers, these designs are achievable and utterly gorgeous.",7/06/2022,16/04/2023 7:00,16/04/2023 7:01,,,96,,,,,Cross Stitch Alphabets,,,,,Search Press,Tunbridge Wells,English,,,,,Amazon,,,,,https://www.amazon.com/Cross-Stitch-Alphabets-beautiful-inspired/dp/178221965X/ref=zg_bs_5133_sccl_15/145-1385929-8312045?psc=1,fakebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662PAWMX,webpage,,,Collection of Designs for Cross Stitch (Ondori): Ondorisha: 9780870404863: Amazon.com: Books,,,,,https://www.amazon.com/Collection-Designs-Cross-Stitch-Ondori/dp/0870404865/ref=sr_1_1?crid=2JFQY3ADBAN9R&keywords=THE+COLLECTION+OF+DESIGNS+CROSS+STITCH&qid=1685312808&s=books&sprefix=the+collection+of+designs+cross+stitch%2Cstripbooks-intl-ship%2C664&sr=1-1,,,28/05/2023 22:27,28/05/2023 22:27,28/05/2023 22:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUDIFE73,webpage,,,"The Cross Stitcher's Bible: Greenoff, Jane: 9780715309292: Amazon.com: Books",,,,,https://www.amazon.com/Cross-Stitchers-Bible-Jane-Greenoff/dp/0715309293/ref=sr_1_3?crid=2JB33STY5QWSJ&keywords=the+cross+stitchers+bible&qid=1685312945&sprefix=THE+CROSS+STITCHERS+BIB%2Caps%2C377&sr=8-3,,,28/05/2023 22:29,28/05/2023 22:29,28/05/2023 22:29,,,,,,,,,,,,,,,,,,,,,,,/Users/statisticsnetwork/Zotero/storage/8MLNARI4/ref=sr_1_3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG9LNXF6,webpage,,,"Cross Stitch Flower Gardens: From 2 Hours to 2 Weeks: Marsh, Christina: 9780715306116: Amazon.com: Books",,,,,https://www.amazon.com/Cross-Stitch-Flower-Gardens-Hours/dp/0715306111/ref=sr_1_1?crid=37QEHU6KOY731&keywords=CROSS+stitch+flower+gardens+from+2+hours+to+2+weeks&qid=1685313133&sprefix=cross+stitch+flower+gardens+from+2+hours+to+2+week%2Caps%2C1262&sr=8-1,,,28/05/2023 22:32,28/05/2023 22:32,28/05/2023 22:32,,,,,,,,,,,,,,,,,,,,,,,/Users/statisticsnetwork/Zotero/storage/3XR2H9HU/ref=sr_1_1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXUA8ZBU,webpage,,,"Cross Stitch Antique Style Samplers: Over 30 Cross Stitch Designs Inspired by Traditional Samplers: Greenoff, Jane: 9780715326602: Amazon.com: Books",,,,,https://www.amazon.com/Cross-Stitch-Antique-Style-Samplers/dp/0715326600/ref=sr_1_1?crid=2S7VL8V28GLDV&keywords=Cross+stitch+samplers&qid=1685313170&s=books&sprefix=cross+stitch+sample%2Cstripbooks-intl-ship%2C356&sr=1-1,,,28/05/2023 22:33,28/05/2023 22:33,28/05/2023 22:33,,,,,,,,,,,,,,,,,,,,,,,/Users/statisticsnetwork/Zotero/storage/S7M2ZZDG/ref=sr_1_1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJ7NLN5F,webpage,,,"The Complete Book of Cross Stitch: al.], Jane Alford ... [et, Alford, Jane: 9781897730362: Amazon.com: Books",,,,,https://www.amazon.com/Complete-Book-Cross-Stitch/dp/1897730365/ref=sr_1_2?crid=1KD21RBGRU1KD&keywords=The+complete+book+of+cross+stitch&qid=1685313300&sprefix=the+complete+book+of+cross+stitch%2Caps%2C302&sr=8-2,,,28/05/2023 22:35,28/05/2023 22:35,28/05/2023 22:35,,,,,,,,,,,,,,,,,,,,,,,/Users/statisticsnetwork/Zotero/storage/XH7NJUTE/ref=sr_1_2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YX58L72V,webpage,,,"Floral cross stitch: COSS, Melinda: 9781854700131: Amazon.com: Books",,,,,https://www.amazon.com/Floral-cross-stitch-Melinda-COSS/dp/1854700138/ref=sr_1_1?crid=182G0CI7DKMSE&keywords=floral+cross+stitch+melinda+cross&qid=1685313355&sprefix=floral+cross+stitch+melinda+cros%2Caps%2C323&sr=8-1,,,28/05/2023 22:36,28/05/2023 22:36,28/05/2023 22:36,,,,,,,,,,,,,,,,,,,,,,,/Users/statisticsnetwork/Zotero/storage/NWMKZR5A/ref=sr_1_1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z2SVWMTM,book,1980,"Farrell, Peg",Counted cross-stitch patchwork design,,978-0-442-22375-5,,,,,1/01/1980,28/05/2023 22:38,28/05/2023 22:38,,,127,,,,,,,,,,Van Nostrand Reinhold,New York,English,,,,,Amazon,,,,,https://www.amazon.com/Counted-cross-stitch-patchwork-design-Farrell/dp/0442223757/ref=sr_1_5?crid=255703JFI9J3V&keywords=Counted+cross+stitch+patchwork+design&qid=1685313414&sprefix=counted+cross+stitch+patchwork+de%2Caps%2C398&sr=8-5,,,,,,,,,,,,,,,,,,,,,,First Edition,,,,,,,,,,,,,,,,,,,,,,,,,,
537SSTDY,book,1990,"Hauschild, Jana",Making Gifts in Counted Cross Stitch,,978-0-7137-1984-0,,,,"Book by Hauschild, Jana",1/01/1990,28/05/2023 22:38,28/05/2023 22:38,,,,,,,,,,,,,Cassell Illustrated,,English,,,,,Amazon,,,,,https://www.amazon.com/Making-Gifts-Cross-stitch-Jana-Hauschild/dp/0713719842/ref=sr_1_1?crid=2UG9MIKJL4HW0&keywords=Making+gifts+in+counted+cross-stitch&qid=1685313487&sprefix=making+gifts+in+counted+cross%2Caps%2C1122&sr=8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P647SUV6,book,1988,"Verso, Jo",Picture It in Cross-Stitch,,978-0-7153-9098-6,,,,"Provides basic patterns for initials, houses, people, symbols, and borders, along with information on selecting materials and designing charts for cross-stitch samplers and pictures",1/01/1988,28/05/2023 22:40,28/05/2023 22:40,,,128,,,,,,,,,,David & Charles Uk,"Newton Abbot, Devon : New York, NY",English,,,,,Amazon,,,,,https://www.amazon.com/Picture-Cross-Stitch-David-Charles-Craft/dp/0715390988/ref=sr_1_2?crid=38YA7MX8QXZDV&keywords=picture+it+in+cross+stitch&qid=1685313548&sprefix=picture+it+in+cross+stitc%2Caps%2C395&sr=8-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5W7YYEQR,book,1995,"Lindberg, Jana Hauschild",Cross Stitch Animals: More Than 60 Captivating Designs from the World of Nature,,978-0-304-34296-9,,,,"Provides historical and contemporary designs and patterns for a variety of projects in counted cross-stitch featuring domestic and wild mammals, birds, insects, and fish",1/01/1995,28/05/2023 22:41,28/05/2023 22:41,,,128,,,,,Cross Stitch Animals,,,,,UNKNO,London,English,,,,,Amazon,,,,,https://www.amazon.com/Cross-Stitch-Animals-Captivating-Designs/dp/0304342963/ref=sr_1_1?crid=5JZ8KOFLZX4Z&keywords=cross+stitch+animals+more+than+60&qid=1685313629&sprefix=cross+stitch+animalsmore%2Caps%2C2726&sr=8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESIDXIH2,book,1999,"Cook, Sue",Art Nouveau in Cross Stitch,,978-1-85391-759-2,,,,This series of practical books is designed to make imaginative stencilling easy. Each book in The Stencil Collection introduces six themed projects with ready-to-use stencils.,1/01/1999,28/05/2023 22:41,28/05/2023 22:41,,,40,,,,,,,,,,Merehurst Ltd,,English,,,,,Amazon,,,,,https://www.amazon.com/Art-Nouveau-Cross-Stitch/dp/1853917591/ref=sr_1_1?crid=47BC7ZZPSIHE&keywords=art+nouveau+in+cross+stitch&qid=1685313657&sprefix=art+nouveau+in+cross+stitc%2Caps%2C577&sr=8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHQXRMZT,book,1993,"Keyes, Brenda",Alphabets & Samplers: 40 Cross Stitch and Charted Designs,,978-0-7153-9983-5,,,,,1/01/1993,28/05/2023 22:43,28/05/2023 22:43,,,,,,,,Alphabets & Samplers,,,,,David & Charles,"Newton Abbot, Devon",English,,,,,Amazon,,,,,https://www.amazon.com/Alphabets-Samplers-Stitch-Charted-Designs/dp/0715399837/ref=sr_1_1?crid=1KQKMSFLVBZ8M&keywords=Alphabets+and+samplers&qid=1685313726&sprefix=alphabets+and+samplers+%2Caps%2C451&sr=8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2BKTRMD,book,1970,"LANE, ANNE AND MICHAEL",QUICK AND EASY CROSS STITCH DESIGNS INSPIRED BY YOUR GARDEN,,,,,,HARDCOVER BOOK,1/01/1970,28/05/2023 22:44,28/05/2023 22:44,,,,,,,,,,,,,READER'S DIGEST,,,,,,,Amazon,,,,,https://www.amazon.com/QUICK-STITCH-DESIGNS-INSPIRED-GARDEN/dp/B06ZY64Q1J/ref=sr_1_1?crid=ZW9MLXBI8BWH&keywords=Quick+and+easy+cross+stitch+designs+inspired+by+your+garden&qid=1685313808&sprefix=quick+and+easy+cross+stitch+designs+inspired+by+your+garde%2Caps%2C674&sr=8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,